B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,NDVI,EVI,MSAVI,NDRE,FCI,aspect,slope,wetnessindex,sink,ASM1,ASM2,contrast1,contrast2,correlation1,correlation2,dissimilarity1,dissimilarity2,energy1,energy2,homogeneity1,homogeneity2,key,class
0.11395,0.0856,0.07405,0.0465,0.07095,0.1674,0.19695,0.1948,0.2153,0.0654,0.0938,0.0388,0.6145876502279319,0.2837951622780159,0.263352390202472,0.4660395108184384,0.0951745764371977,270.0,0.0,0.0,1.0,4217.248520710059,64.91715976331362,0.1729981443226777,0.4159304561133721,64.91715976331362,0.0,1.0,0.1729981443226777,0.0002377333552515,4217.248520710059,0.4159304561133721,1.0,0,7
0.11395,0.0867,0.07445,0.04805,0.07095,0.1674,0.19695,0.20295,0.2153,0.0654,0.0938,0.0388,0.6171314741035856,0.293756210791416,0.2736031675905829,0.4819277108433735,0.0987509367044181,270.0,0.0,0.0,1.0,4237.591715976332,65.07100591715977,0.1608837225587339,0.4011031320729544,65.07100591715977,0.0,1.0,0.1608837225587339,0.0002366659480297,4237.591715976332,0.4011031320729544,1.0,0,7
0.11395,0.08495,0.06945,0.0432,0.0719,0.16465,0.2003,0.18365,0.2107,0.0654,0.09305,0.0385,0.6191315847476306,0.2727544607831714,0.2518197989950217,0.4372921150459792,0.0890712074690806,270.0,0.0,0.0,1.0,4210.260355029586,64.8639053254438,0.1767795245264521,0.4204515721536217,64.8639053254438,0.0,1.0,0.1767795245264521,0.0002381107348921,4210.260355029586,0.4204515721536217,1.0,0,7
0.11395,0.08525,0.07235,0.04835,0.07255,0.1723,0.2055,0.1949,0.21805,0.0654,0.09705,0.04105,0.6024665981500513,0.2794750331822966,0.2592556381634212,0.4574686857356515,0.0970742756861981,270.0,0.0,0.0,1.0,4222.6035502958575,64.9585798816568,0.1731381954413361,0.4160987808698027,64.9585798816568,0.0,1.0,0.1731381954413361,0.0002374263643845,4222.6035502958575,0.4160987808698027,1.0,0,7
0.11395,0.08605,0.07275,0.0484,0.07255,0.1723,0.2055,0.2047,0.21805,0.0654,0.09705,0.04105,0.6175424733306993,0.2958299895522614,0.275745352047562,0.4766456266907123,0.0995363250275998,270.0,0.0,0.0,1.0,4242.124260355029,65.10650887573966,0.163194566016596,0.4039734719218529,65.10650887573966,0.0,1.0,0.163194566016596,0.0002363935657665,4242.124260355029,0.4039734719218529,1.0,0,7
0.11395,0.0854,0.07015,0.0447,0.0719,0.16465,0.2003,0.1815,0.2107,0.0654,0.09305,0.0385,0.6047745358090186,0.2653672465432424,0.2446450469549418,0.4325177584846092,0.0900724708221107,270.0,0.0,0.0,1.0,4215.674556213018,64.905325443787,0.1756591155771857,0.4191170666737227,64.905325443787,0.0,1.0,0.1756591155771857,0.0002378133492899,4215.674556213018,0.4191170666737227,1.0,0,7
0.11395,0.0864,0.0717,0.0483,0.07255,0.1723,0.2055,0.1944,0.21805,0.0654,0.09705,0.04105,0.6019777503090235,0.2787487026069967,0.2585200165183081,0.4564525191983516,0.0968995356026023,270.0,0.0,0.0,1.0,4228.80473372781,65.00591715976331,0.1712475053394489,0.4138206197610855,65.00591715976331,0.0,1.0,0.1712475053394489,0.000237088750542,4228.80473372781,0.4138206197610855,1.0,0,7
0.11395,0.0853,0.07365,0.04855,0.07255,0.1723,0.2055,0.19645,0.21805,0.0654,0.09705,0.04105,0.603673469387755,0.281613441281979,0.2614297677118913,0.4605947955390335,0.0976608800902388,270.0,0.0,0.0,1.0,4245.9763313609465,65.13609467455622,0.1637547704912293,0.4046662458016845,65.13609467455622,0.0,1.0,0.1637547704912293,0.0002361787339191,4245.9763313609465,0.4046662458016845,1.0,0,7
0.11525,0.0869,0.0728,0.04455,0.0676,0.16225,0.194,0.1781,0.2061,0.0621,0.0951,0.04095,0.599820345834269,0.259820858819318,0.2391015831463626,0.4497354497354497,0.0890749964917203,24.44395446777344,8.5889253616333,6.860036373138428,58721.0,4152.343195266272,64.42603550295858,0.215993837750779,0.4647513719729927,64.4319526627219,0.0,1.0,0.216904170022058,0.0002411500635928,4153.082840236686,0.465729717778518,1.0,1,7
0.11525,0.08745,0.07345,0.0441,0.0676,0.16225,0.194,0.1875,0.2061,0.0621,0.0951,0.04095,0.6191709844559585,0.2771892928386967,0.2563895153211882,0.4700117600940808,0.090932667397366,29.05460357666016,7.33339262008667,7.0131516456604,57779.0,4163.863905325444,64.51479289940829,0.2155036588354749,0.4642237163647231,64.5207100591716,0.0,1.0,0.2162039144287665,0.0002404998478376,4164.6035502958575,0.4649773267899914,1.0,1,7
